Activity,Contact,Opening hours,Address
2. See the S.E.A. Aquarium,not available,"10am-5pm, Daily","8 Sentosa Gateway, Sentosa Island, Singapore 098269"
3. Visit the Museum of Ice Cream,not available,Mon & Wed 10am-6pm | Thu-Sun 10am-9pm (Closed on Tuesdays),"100 Loewen Road, Singapore 248837"
4. Swim at Wild Wild Wet,6581 9128,Mon & Wed-Fri 12pm-6pm | Sat-Sun 11am-6pm (Closed on Tuesdays),"1 Pasir Ris Close, Downtown East, Singapore 519599"
5. Roller skate at Hi-Roller,9694 4094,Mon-Thu 11am-6.30pm | Fri 12pm-8pm | Sat-Sun 11am-10pm,"1 Pasir Ris Close, E!Hub, Market Square @ Downtown East, #05-103, Singapore 519599"
6. Play arcade games at Timezone Westgate,6265 1132,Mon-Thu 11am-10pm | Fri 11am-11pm | Sat 10am-11pm | Sun 10am-10pm,"3 Gateway Drive, Westgate #B1-45, Singapore 608532"
7. Frolic around at Airzone (temporarily closed till Oct 2024),not available,not available,not available
8. Learn new skills at NLB libraries,not available,not available,not available
9. Discover new playgrounds in Singapore,not available,not available,not available
10. Chill out at Snow City,6560 2306,Tue-Fri 10am-5pm | Sat-Sun & PH 10am-6pm,"21 Jurong Town Hall Road, Singapore 609433"
11. Tour the Jacob Ballas Children’s Garden,1800 471 7300,not available,"481 Bukit Timah Road, Singapore 259769"
12. Try fishing at Qian Hu Fish Farm,6766 1554,Mon-Fri 9am-6pm | Sat-Sun 9am-7pm,"No. 71 Jalan Lekar, Singapore 698950"
13. Play with felines at The Cat Cafe,6338 6815,Mon 3pm-10pm | Tue-Fri 10am-9pm | Sat-Sun 10am-10pm,"241B Victoria Street, Singapore 188030"
14. Support the Kitten Sanctuary,6336 2133,"Sat-Sun 11.30am-12.30pm, 5pm-6pm (Closed from Mondays to Fridays)","781A North Bridge Road, #02-01, Singapore 198749"
15. Relax in Singapore’s newest hotels,not available,not available,not available
16. Bungy jump at Skypark Sentosa by AJ Hackett,6911 3070 ,Mon-Fri 12.30pm-7pm | Sat–Sun 11.30pm-7pm ,"30 Siloso Beach Walk, Singapore 099011"
