,restaurant number,name,rating,cuisine,price,location
0,1,11. The Garden @ Sentosa,5.0 ,Modern European,$$$,Sentosa
1,2,12. Tian Tian Seafood Restaurant,4.7 ,"Seafood, Chinese",$$,Tiong Bahru
2,3,13. Song Fa Bak Kut Teh,4.6 ,"Chinese, Singaporean",$,Chinatown
3,4,14. Zhong Guo La Mian Xiao Long Bao,4.4 ,"Shanghainese, Dim Sum, Noodles",$,Chinatown
4,5,15. La Strada,4.4 ,Italian,$$$,Tanglin
5,6,16. Wee Nam Kee Chicken Rice,4.3 ,"Chicken Shop, Hainan",$,Novena
6,7,17. Two Men Bagel House,4.5 ,"Bagels, Breakfast & Brunch, Sandwiches",$,Tanjong Pagar
7,8,18. Going Om,4.3 ,"Bars, Cafes",$$,Arab Street
8,9,19. Lang Nuong Viet Nam,4.4 ,"Vietnamese, Barbeque",$$,Little India
9,10,20. Sakurazaka,4.7 ,Japanese,$$$,Bukit Timah
10,11,21. Man Man Japanese Unagi,4.8 ,Japanese,$$,Chinatown
11,12,22. Hong Kong Street Family Restaurant,4.3 ,Cantonese,$,Novena
12,13,23. Sungei Road Laksa,4.4 ,"Singaporean, Chinese, Noodles",$,Lavender
13,14,24. Founder Bak Kut Teh,4.3 ,Singaporean,$$,Lavender
14,15,25. Yardbird Table & Bar,4.3 ,"American, Bars",$$$,Bayfront
15,16,26. Vatos Urban Tacos,3.9 ,Mexican,$$,Bugis
16,17,27. NUDE Seafood,4.3 ,Seafood,$$,Bayfront
17,18,28. Hokkaido Ramen Santouka,4.3 ,Ramen,$$,Clarke Quay
18,19,29. The Sushi Bar,4.4 ,"Sushi Bars, Japanese",$$,Orchard
19,20,30. JB Ah Meng,4.6 ,"Chinese, Seafood",$$,Geylang
20,21,31. Usman Restaurant,4.0 ,Indian,$,Little India
21,22,32. Katong Keah Kee,4.5 ,"Seafood, Specialty Food, Street Vendors",$,Chinatown
22,23,33. Hambaobao,4.6 ,Burgers,$,Little India
23,24,34. Komala Vilas Restaurant,4.2 ,"Indian, Vegetarian",$,Little India
24,25,35. Dragon Phoenix,4.0 ,Cantonese,$$,Clarke Quay
25,26,36. Swee Choon Tim Sum,4.0 ,Dim Sum,$,Little India
26,27,37. Newton Tian Xiang Big Prawn Noodle,4.5 ,Noodles,$,Newton
27,28,38. Fat Bird,4.0 ,Chinese,$$,Bugis
28,29,39. MTR 1924,4.4 ,Indian,$,Little India
29,30,40. Trattoria Lafiandra,4.2 ,"Italian, Wine Bars",$$,Tanglin
30,31,41. Taste Paradise,4.5 ,"Dim Sum, Cantonese",$$,Orchard
31,32,42. Tingkat PeraMakan,4.3 ,"Singaporean, Seafood, Noodles",$$,Farrer Park
