month,hotel_room_revenue_(thousand_dollars),standard_average_room_rate_(dollar),average_room_rate _-_hotel_with_100_rooms_and_less_(dollar),average_room_rate_-_hotel_with_101_-_299_rooms_(dollar),average_room_rate_-_hotel_with_300_or_more_rooms_(dollar),standard_average_hotel_occupancy_rate_(per_cent),average_hotel_occupancy_rate_-_hotel_with_100_rooms_and_less_(per_cent),average_hotel_occupancy_rate_-_hotel_with_101_-_299_rooms_(per_cent),average_hotel_occupancy_rate_-_hotel_with_300_or_more_rooms_(per_cent),gross_lettings_(room-nights)_(number),available_room-nights_(number),no_of_rainy_days
2008-01,176098.3,235.9,110,201.1,252.2,84.2,81.1,80.9,85.1,745964,886159,19
2008-02,171955.1,254.3,104.5,204.7,277.6,79,78.6,78.3,79.2,667755,845049,8
2008-03,187570.5,237.2,103.1,194.5,256.9,86.3,82,83.8,87.2,779884,903456,16
2008-04,184276.3,251.6,105.7,200.5,274.2,83,80.5,80,83.8,722829,870588,13
2008-05,180126.8,244.2,105,197.2,265.4,81.1,79.3,78.5,81.8,730766,900704,11
2008-06,177628.7,245.1,106.2,197.4,266.9,81.4,79.9,79.9,81.9,714293,877230,12
2008-07,180123.9,236.6,110.8,202.6,252.8,84.4,81,81.6,85.2,761225,901954,15
2008-08,166743,230.5,108.8,198.2,246,79.8,74.9,76.6,80.9,723528,906200,18
2008-09,194819.3,298.6,128.3,231.9,323.1,73.8,67.6,68,75.5,652343,883702,18
2008-10,178412,236.3,110.3,185.5,254.8,81.1,72.6,74.3,83.3,754850,930784,19
2008-11,164945.1,229.9,108.4,181.7,247.9,79.8,72,74.2,81.7,717551,899079,16
2008-12,142719.4,212.5,107,182.4,227.5,72.7,73.2,68.7,73.6,671735,924389,17
2009-01,127165,205.2,122.6,180.4,216.4,66.3,55.9,60,68.7,619834,935309,5
2009-02,127432.3,202.6,116.9,174,214.2,74.4,58.5,67,77.6,629067,845470,8
2009-03,134475.6,196.4,114.9,163.3,209.8,72.9,63.3,66.6,75.4,684534,938508,19
2009-04,117186.9,185.2,105,157.9,197.9,69.8,62.2,64.7,71.8,632178,905951,12
2009-05,114735.2,180.6,103.5,151.2,193.3,67.9,60.6,61.9,70.1,635397,936252,17
2009-06,121273.2,175.5,98.4,149.3,186.8,75,62.7,67.6,78,690753,920686,8
2009-07,132885.1,171.6,101.3,155.1,180.2,78.9,65.3,70.6,82.2,774074,981637,16
2009-08,129430.4,170.2,101,155.3,178.2,77.3,63.4,69.7,80.6,760550,983279,12
2009-09,147376.9,199.4,104.5,172.6,212.2,76.7,63.7,67.9,80.2,739059,963285,13
2009-10,146802,178.4,99.9,159.7,188.1,81.7,65.3,75.9,84.6,822554,1007103,15
2009-11,159118.3,192.4,103.2,166.2,204.6,84.2,65.8,79.6,87.1,826755,981592,23
2009-12,140046.4,173.2,102.3,156.9,182.7,79.9,72.1,76.3,81.6,808403,1011345,18
2010-01,150752.9,180,99,150.3,195.3,80.7,67.8,78.2,82.8,835637,1035954,10
2010-02,144638,189.7,98.5,154.5,209.3,79.5,67.3,78.4,81.5,762314,958399,4
2010-03,177083.3,192.4,98.6,157.6,212.8,87.2,74.1,86.7,89.1,918563,1053995,11
2010-04,171834.9,199.6,102.5,167.9,219.9,84.7,74.3,83.9,86.3,860399,1016131,18
2010-05,181294,199.8,104.6,166.8,220.4,85.7,77.4,85,87,906371,1057275,17
2010-06,186661.4,208.3,108.3,172.4,230.6,87.9,79,88.8,88.8,895331,1019067,19
2010-07,201275.1,200.8,113,169.9,219.6,87.4,79.2,89,88.1,997618,1140884,18
2010-08,211057.5,211.7,120.8,177.5,230.4,82.3,72.7,84.7,82.9,994352,1208017,16
2010-09,217845.4,231.5,161,195.2,247.5,80.4,70.7,79.6,81.8,938865,1167836,13
2010-10,219421.6,212.8,125.5,179.3,229.9,84.6,72.8,84.6,86,1027801,1215498,17
2010-11,223472.1,215.9,124.1,181.9,233.8,87,75.6,86,88.7,1031973,1185688,21
2010-12,216222.3,212.6,126.7,185.3,229,83.2,76.3,83.9,83.9,1013836,1218247,14
2011-01,220511.5,220.7,128.4,183.3,239.5,82,72.6,82.5,83,994050,1212155,17
2011-02,204522.6,221.7,125.5,178.6,242.1,82.9,71.9,82.2,84.4,921218,1111868,8
2011-03,242874.3,228.2,122.6,191.8,249,86.6,81.7,86,87.4,1064069,1228152,22
2011-04,227818.4,226.5,124.7,194.1,246.2,85.7,80.9,85.7,86.3,1005640,1173176,12
