Data Series,2023 Dec,2023 Nov,2023 Oct,2023 Sep,2023 Aug,2023 Jul,2023 Jun,2023 May,2023 Apr,2023 Mar,2023 Feb,2023 Jan,2022 Dec,2022 Nov,2022 Oct,2022 Sep,2022 Aug,2022 Jul,2022 Jun,2022 May,2022 Apr,2022 Mar,2022 Feb,2022 Jan,2021 Dec,2021 Nov,2021 Oct,2021 Sep,2021 Aug,2021 Jul,2021 Jun,2021 May,2021 Apr,2021 Mar,2021 Feb,2021 Jan,2020 Dec,2020 Nov,2020 Oct,2020 Sep,2020 Aug,2020 Jul,2020 Jun,2020 May,2020 Apr,2020 Mar,2020 Feb,2020 Jan,2019 Dec,2019 Nov,2019 Oct,2019 Sep,2019 Aug,2019 Jul,2019 Jun,2019 May,2019 Apr,2019 Mar,2019 Feb,2019 Jan,2018 Dec,2018 Nov,2018 Oct,2018 Sep,2018 Aug,2018 Jul,2018 Jun,2018 May,2018 Apr,2018 Mar,2018 Feb,2018 Jan,2017 Dec,2017 Nov,2017 Oct,2017 Sep,2017 Aug,2017 Jul,2017 Jun,2017 May,2017 Apr,2017 Mar,2017 Feb,2017 Jan,2016 Dec,2016 Nov,2016 Oct,2016 Sep,2016 Aug,2016 Jul,2016 Jun,2016 May,2016 Apr,2016 Mar,2016 Feb,2016 Jan,2015 Dec,2015 Nov,2015 Oct,2015 Sep,2015 Aug,2015 Jul,2015 Jun,2015 May,2015 Apr,2015 Mar,2015 Feb,2015 Jan,2014 Dec,2014 Nov,2014 Oct,2014 Sep,2014 Aug,2014 Jul,2014 Jun,2014 May,2014 Apr,2014 Mar,2014 Feb,2014 Jan,2013 Dec,2013 Nov,2013 Oct,2013 Sep,2013 Aug,2013 Jul,2013 Jun,2013 May,2013 Apr,2013 Mar,2013 Feb,2013 Jan,2012 Dec,2012 Nov,2012 Oct,2012 Sep,2012 Aug,2012 Jul,2012 Jun,2012 May,2012 Apr,2012 Mar,2012 Feb,2012 Jan,2011 Dec,2011 Nov,2011 Oct,2011 Sep,2011 Aug,2011 Jul,2011 Jun,2011 May,2011 Apr,2011 Mar,2011 Feb,2011 Jan,2010 Dec,2010 Nov,2010 Oct,2010 Sep,2010 Aug,2010 Jul,2010 Jun,2010 May,2010 Apr,2010 Mar,2010 Feb,2010 Jan,2009 Dec,2009 Nov,2009 Oct,2009 Sep,2009 Aug,2009 Jul,2009 Jun,2009 May,2009 Apr,2009 Mar,2009 Feb,2009 Jan,2008 Dec,2008 Nov,2008 Oct,2008 Sep,2008 Aug,2008 Jul,2008 Jun,2008 May,2008 Apr,2008 Mar,2008 Feb,2008 Jan
Hotel Room Revenue (Thousand Dollars),412790.7,406655.7,409018.8,492763.2,454420.8,484097.4,383010.3,397671.9,365370.3,363548.9,350051.6,318184.7,372002.3,390504.4,408724.5,387842.7,312508.1,316633.3,285411.8,231967.7,181792.1,154392.1,107563.2,102164.8,131882.5,101263.9,81555.6,77910.1,70278.6,70270.7,66144.3,69425.8,83131.9,81373,64460.5,68551.6,113156.2,75209.2,74360.3,65589.1,64049.2,37825.8,33441.7,38270.2,54612.1,121760.7,186474.1,369259.6,371830.3,368506.3,372207.6,375892.7,383423.8,377573.2,319771.6,306710.4,324915,331225.1,328912.2,334808.5,329307.6,329039.9,347408.2,345938.6,362218,362612.2,318090.4,308845.3,328990.2,338739.1,313245.2,310182.6,308692.4,312208.5,317483,327636.3,336563.9,333504.8,286297,290820.5,298252,310003.4,294313.2,299878.5,298052.6,286621,297339.9,316679.9,323993.8,326777.7,261839.5,282056.9,289765.2,291642.6,295203.3,291470.2,289347.2,286892.2,321753.5,302844.6,328260.1,306594.7,278802.6,277073.5,267758.5,293344.8,268063.7,286654.9,295745.6,294705.7,300834.1,302642.7,320136.6,303490.2,281334.2,288566.8,285931,300339.7,293485.1,274572.7,279971.6,282871.2,295958.1,289885.2,291755.8,278335.7,279590.1,270986.3,261385.8,281744.7,243203.5,264458.2,268803.5,275382.6,276371.8,273541.9,268563.2,276940.4,264327.5,254848.4,258644.6,266131.2,264886.8,241543.9,246644.7,262033.4,259687.7,264679.1,238108.2,263089.6,243800.9,235525.5,227818.4,242874.3,204522.6,220511.5,216222.3,223472.1,219421.6,217845.4,211057.5,201275.1,186661.4,181294,171834.9,177083.3,144638,150752.9,140046.4,159118.3,146802,147376.9,129430.4,132885.1,121273.2,114735.2,117186.9,134475.6,127432.3,127165,142719.4,164945.1,178412,194819.3,166743,180123.9,177628.7,180126.8,184276.3,187570.5,171955.1,176098.3
Standard Average Room Rate (Dollar),286.4,276.5,277.4,325.9,286,292,270,272.6,272.8,265.8,275.3,273.8,288.3,282.6,285.5,284.9,251,258.5,240.9,223.4,207.2,192.3,193.1,184.9,223.8,174,159.5,154.5,151.7,151.3,144.9,139,155.9,150.6,152.4,150.8,186.6,154.6,143.5,125.7,121,83.4,64.9,64.5,88.7,170.6,224.3,231.1,233.6,224.5,223.6,235.4,225.1,218.7,210.6,206.5,215,214.8,224.1,215.9,222,218.6,219.4,229,217.7,216.3,212.9,207,219.8,220.1,224.3,214.1,221.2,216.2,217.9,229.1,220,215.4,210.5,208.9,214.1,214.6,218.4,218.2,217.2,215,218.6,239.1,224,218.7,211.9,218.3,224.7,223.3,238.1,226,232.3,227.8,237.1,246.4,233,225.7,227.6,224.1,228.5,233.7,234.3,236.7,242.9,238,237.8,255.7,239.6,234.8,236.4,238.8,245.2,245.4,257.3,238.1,241.9,238.9,242.3,254.9,238.3,230.3,241.2,236.2,236.3,238.9,238,237.9,243.3,241.5,244.3,261.7,238.4,238,244.3,238.5,245.6,239.6,251.2,234.5,236.1,241.5,238.4,256.3,226.4,233,237.4,230.5,226.5,228.2,221.7,220.7,212.6,215.9,212.8,231.5,211.7,200.8,208.3,199.8,199.6,192.4,189.7,180,173.2,192.4,178.4,199.4,170.2,171.6,175.5,180.6,185.2,196.4,202.6,205.2,212.5,229.9,236.3,298.6,230.5,236.6,245.1,244.2,251.6,237.2,254.3,235.9
Average Room Rate - Hotel With 100 Rooms And Less (Dollar),153.6,153.7,157,184.8,165.7,172.7,158.9,162.9,165.6,157,159.1,158.6,170.1,161.7,159.7,156.2,143.8,142.3,132.9,121.9,113.9,107.1,107.4,107,133.6,103.4,88.5,83.7,81.8,82.2,77.5,71.2,78.6,79.1,78.8,82.3,105,83.3,78.7,75,72.6,58.6,50.9,54.3,69.6,110.4,154,144.4,150,134.4,135.1,143.5,142.4,138.4,131.3,127.3,131.8,132.6,138.7,136.2,136.3,127.8,133.8,139,129.9,131.3,131.1,127.2,132.6,131.5,139.9,133.1,136.1,129.4,132.2,134.1,130.6,139.8,123.8,123.7,128,124.2,128.2,127.5,131,126.1,130.4,134.4,129.8,130.7,124.3,137.2,132.4,132.5,140.5,135,134.5,128.9,137.2,134.8,131.9,129.6,127.2,124.8,130.6,133,136.2,136.4,137.9,133.6,140.2,144.1,140.5,139.2,135.5,133.4,143.1,140.9,148.7,135.9,142.7,133.5,139.6,148.9,143.4,138.4,139.9,138.7,138.4,138.3,147,138,141.9,136.6,139.8,145.1,141.2,140.5,138.7,136.2,141.1,134.9,137.9,135,136.1,134.2,135.1,147.1,131.3,127.8,129.6,126.5,124.7,122.6,125.5,128.4,126.7,124.1,125.5,161,120.8,113,108.3,104.6,102.5,98.6,98.5,99,102.3,103.2,99.9,104.5,101,101.3,98.4,103.5,105,114.9,116.9,122.6,107,108.4,110.3,128.3,108.8,110.8,106.2,105,105.7,103.1,104.5,110
Average Room Rate - Hotel With 101 - 299 Rooms (Dollar),277.7,263,266.1,313,274.8,287.5,260.5,263,273,270.9,277.8,276.1,296.1,283.1,283.4,281.8,246.2,259.3,249.8,219.5,208.1,196.7,204.4,190.9,256.4,209.2,196.5,193.3,185.6,188.7,171.3,177.6,197.8,192.1,190.8,183.8,252.6,218.3,199.2,166.7,149,117,72.5,71.8,91.7,164.3,203.3,216.8,227.2,210.1,206.4,216.6,200.2,195.9,186.9,183.4,189.3,186,203.5,193.1,201.8,194.3,196.9,206.3,191.3,194.7,191.9,184.8,198.6,193.8,206.4,189.7,197.4,182.4,187.7,193.3,186.9,186.1,190.5,181.7,190.1,184.6,187.2,191.6,176.7,180.4,184.8,197.8,191.4,189.9,188,186,196.2,193.8,212.1,202.1,211.1,196.1,204.5,211,202.7,197.6,196.6,189.9,193.3,200.8,208.1,204.5,217.4,204.8,207.7,217.8,208.5,205.8,206.3,202.2,214.5,210.4,223.1,210.9,224.5,201.3,208.9,213,206.6,193.5,203.7,201.4,202.6,208,213,206.9,221.1,209.2,217.3,228.2,207.2,202.5,200.5,202.4,209,194.1,202,197,207.4,204.8,193.5,209.7,190.4,199.6,199.7,196.6,194.1,191.8,178.6,183.3,185.3,181.9,179.3,195.2,177.5,169.9,172.4,166.8,167.9,157.6,154.5,150.3,156.9,166.2,159.7,172.6,155.3,155.1,149.3,151.2,157.9,163.3,174,180.4,182.4,181.7,185.5,231.9,198.2,202.6,197.4,197.2,200.5,194.5,204.7,201.1
Average Room Rate - Hotel With 300 Or More Rooms (Dollar),308,298.2,297.3,349.4,306.8,309.1,287.5,290.4,287.6,279.7,290.3,290.1,303.3,299.3,303.7,303.8,268.4,277.4,255.7,244.1,225.4,211.1,215.8,208.5,244.3,185.8,171,164.6,163.3,162.9,158.3,149.8,165.2,158.8,161.1,159,186,156.9,144,126.1,124.3,79.9,65.9,64.2,91.1,182,240,245.2,244.6,238.3,238.4,251,241.5,234.6,226.2,222.3,232.1,231.9,239.2,231.3,237.5,235.7,235.6,245.3,235,232.7,227.9,223,236.5,237.3,239.1,230.4,238.4,236,236.6,250.8,240.8,234.5,227.1,227.9,232.7,234.2,237.9,236.5,240.8,234.5,238.3,262.7,245.1,238.8,229.2,237.7,243.9,241.9,256,242.9,250.5,248.8,258.7,270.3,255.6,247.3,250.2,248,251.5,255.2,253.7,258.4,264.5,260.8,259.3,280.9,262.1,255.1,257.5,261.3,266,266.4,278.3,256.8,258.7,260.8,262.3,278.1,258.1,251,263.6,257.1,257.3,259,254.4,257.7,262.3,263.1,263.5,284,257.9,259,267.4,259.5,267.5,262,275.7,253.8,254.5,261.9,260,279,246,252.7,257.7,250.5,246.2,249,242.1,239.5,229,233.8,229.9,247.5,230.4,219.6,230.6,220.4,219.9,212.8,209.3,195.3,182.7,204.6,188.1,212.2,178.2,180.2,186.8,193.3,197.9,209.8,214.2,216.4,227.5,247.9,254.8,323.1,246,252.8,266.9,265.4,274.2,256.9,277.6,252.2
Standard Average Hotel Occupancy Rate (Per Cent),74.8,78.9,77.6,82.1,85.9,89.9,80.5,80.1,77.6,79.4,83.7,70.4,78.1,85.7,84.3,82.7,77,79.1,78.1,72.8,66.4,60.6,62.7,57.5,74.3,78,64.4,65.1,56.1,56.1,54.6,52.9,52.7,51.4,44.2,44.3,62,54.2,57.6,63.1,64.8,66.4,57,59.3,40.4,40.2,49.1,83,83,88.8,86.9,87.1,92.4,93.9,86.1,82,85.4,84.3,88.5,84.7,80.7,84.9,86.4,85.3,91.5,92.4,85.5,82.6,85.2,87.2,88,83.4,79.6,85.2,83.1,84.3,89.4,91.5,83.8,82.3,85.1,84.7,88,81.8,79.6,81.5,80.5,80.3,87.2,90.5,79.8,83,85,83.4,84.3,82.7,80,82.9,86.6,81.4,90.7,89.9,83.8,82.5,80.8,83.2,83.7,81.2,81.1,85,84.8,82.6,89.4,88.2,83.5,81.6,81.7,85.5,87.8,80.2,80.8,85.3,85.8,82.6,89,87.7,87,83.7,83.4,87.2,84.9,83.8,82.9,88.3,85.8,82.6,87.7,90,86.5,83.6,84.7,87.2,88.5,81,82.3,87.7,85.7,83.9,83,92.8,87.9,84.4,85.7,86.6,82.9,82,83.2,87,84.6,80.4,82.3,87.4,87.9,85.7,84.7,87.2,79.5,80.7,79.9,84.2,81.7,76.7,77.3,78.9,75,67.9,69.8,72.9,74.4,66.3,72.7,79.8,81.1,73.8,79.8,84.4,81.4,81.1,83,86.3,79,84.2
Average Hotel Occupancy Rate - Hotel With 100 Rooms And Less (Per Cent),73.6,76.5,73.7,78.5,85.4,88.2,79,80.2,78.7,80.9,82.4,73.7,82.1,88.2,87.5,84.4,81,85.6,84.8,81.4,71.9,73.1,74.2,67.8,82.8,82.4,72.1,68.7,61.2,64.5,58.1,58.2,54.4,54.6,47.5,47,54.8,61.9,63.8,67.5,65.6,61.8,52.1,52.5,44.2,43.4,45.7,72.6,69.2,75,74.3,74.6,82.4,87,74.9,71.4,75.5,71.1,73,72.7,70.2,72.3,74.5,70.6,80.4,86.6,73.7,73.1,76.2,73.2,74.3,70.2,69.8,72.6,69.9,72.1,78.2,83.5,71.3,72.3,76.2,72.9,74.8,69.8,71.2,68.7,69.5,69.4,77.5,83,67,75.8,75,69.7,68,67.5,70,72,75.7,71.7,82.1,81.9,73.9,74.8,69,68,66.3,65.4,70.9,70,69.3,66,75.6,73.3,71.6,68.7,69.4,70.7,71.9,65.8,70.9,71.1,69.8,69.9,78.5,76.1,76.8,72.3,72.5,77.1,70.4,73.1,77.4,81,75.3,73.4,79.4,82.8,75.5,74.1,77.9,77.9,79.4,68.6,74.7,75.1,73,71.8,73.1,88.2,80.3,79.9,80.9,81.7,71.9,72.6,76.3,75.6,72.8,70.7,72.7,79.2,79,77.4,74.3,74.1,67.3,67.8,72.1,65.8,65.3,63.7,63.4,65.3,62.7,60.6,62.2,63.3,58.5,55.9,73.2,72,72.6,67.6,74.9,81,79.9,79.3,80.5,82,78.6,81.1
Average Hotel Occupancy Rate - Hotel With 101 - 299 Rooms (Per Cent),78,81.4,80.4,84.2,86.4,89.9,81.8,81,79.8,78.3,82.9,71.9,78.2,83.3,82.6,82.3,74.3,76.4,75.8,70.9,65,61.7,61.6,59.4,78.6,74.3,63.5,61,52.3,52.1,48.3,46.1,49.6,48.3,42.6,43.5,57.9,50.7,56.1,62.4,66.8,59.9,46.7,54.7,41.2,40,49.3,81.7,80.1,86.4,84.6,85.2,91.5,92.6,84.4,80.7,83.7,81.9,87.4,83.4,79.5,83,84.1,83.8,89.9,90.4,83.3,80.3,83.6,85.1,86.5,81.6,79.1,83.3,81.4,82.1,88.6,90.9,82.1,80.5,82.7,82.2,85.2,78.6,77.3,76.4,76.1,75.1,84,89.1,77.9,80.3,81.8,81.1,81.6,80.6,75.9,79.6,83.3,76.8,89,87.2,80.6,81,79.5,80.3,81.2,77.9,76.3,81,82.1,78.9,88.1,87,81,77.9,78.9,82,82.8,74.7,78.4,83.2,83.7,79.8,87.6,86.7,85.4,82,82.9,84.1,81,81.1,81.2,86.1,83.3,79.8,86.7,88.6,84.7,80.9,83.1,84.1,85.8,76.8,79.1,83.9,82.1,78.8,79.5,89.8,84.7,83.2,85.7,86,82.2,82.5,83.9,86,84.6,79.6,84.7,89,88.8,85,83.9,86.7,78.4,78.2,76.3,79.6,75.9,67.9,69.7,70.6,67.6,61.9,64.7,66.6,67,60,68.7,74.2,74.3,68,76.6,81.6,79.9,78.5,80,83.8,78.3,80.9
Average Hotel Occupancy Rate - Hotel With 300 Or More Rooms (Per Cent),74,78.5,77.2,81.9,85.8,90.2,80.4,79.8,76.8,79.6,84.1,69.6,77.5,86.1,84.4,82.7,77.3,79,77.9,72,65.9,57.7,60.1,53.9,69.3,78.2,62.1,65.6,56,55,55.9,53.5,53.1,51.5,43.8,43.9,65.3,53.3,56.5,62.3,63.9,70.7,61.5,62.5,39.6,39.8,49.5,84.7,85.7,91.4,89.3,89.4,94,95.2,88.2,83.8,87.3,86.8,90.9,86.7,82.5,87.3,88.7,87.9,93.5,93.7,87.7,84.6,87,89.8,90.4,85.8,81.2,87.5,85.6,86.8,91.2,92.9,86.1,84.4,87.2,87.1,90.8,84.5,81.5,84.9,83.3,83.5,89.6,92,82.3,84.9,87.3,86,87.5,85.5,82.7,85.5,89.1,84.2,92.5,91.9,86.4,84.2,83.1,86.5,87.2,84.9,84.3,88.6,88.2,86.5,92,90.9,86,84.7,84.3,88.6,91.5,83.9,82.9,88,88.6,85.2,90.9,89.6,88.9,85.8,85.2,89.5,87.9,86.1,84.1,89.9,87.9,84.6,89.1,91.3,88.5,85.6,86,89.2,90.3,83.7,84.1,90.3,88.2,86.8,85.2,94.1,89.6,85.3,86.3,87.4,84.4,83,83.9,88.7,86,81.8,82.9,88.1,88.8,87,86.3,89.1,81.5,82.8,81.6,87.1,84.6,80.2,80.6,82.2,78,70.1,71.8,75.4,77.6,68.7,73.6,81.7,83.3,75.5,80.9,85.2,81.9,81.8,83.8,87.2,79.2,85.1
Gross Lettings (Room-Nights) (Number),1441003,1469604,1474176,1511550,1587630,1642826,1418294,1458040,1339115,1367211,1270136,1161507,1290049,1381819,1428376,1355528,1242312,1220488,1178729,1035300,873546,799174,555599,552185,588766,579783,507708,504266,463347,464342,452894,499484,533251,539089,422936,454413,606305,486441,518190,521554,529518,447085,514964,593689,615760,713530,831421,1597859,1587373,1640436,1661171,1593343,1693776,1725297,1517318,1485293,1509500,1541773,1467338,1550957,1483662,1505190,1583262,1510715,1663784,1676452,1494124,1491761,1495282,1538947,1396835,1448484,1395744,1444128,1456452,1429542,1529795,1540486,1359593,1392052,1393170,1444293,1347347,1374330,1344107,1330693,1360435,1324049,1446341,1493918,1235834,1292030,1287304,1305892,1239794,1289788,1243309,1259304,1357081,1229213,1408604,1358614,1224995,1236380,1171392,1255330,1139015,1206938,1217475,1238208,1264826,1183472,1336287,1292656,1189990,1208510,1166186,1221204,1140438,1152949,1156600,1184077,1221198,1137335,1224045,1208741,1159161,1147036,1106136,1179190,1021872,1111834,1105045,1140291,1131439,1045397,1126294,1163585,1081840,1068702,1053022,1108491,1054454,1030023,1044875,1084958,1089395,1032771,1051400,1127938,1026884,1021540,1005640,1064069,921218,994050,1013836,1031973,1027801,938865,994352,997618,895331,906371,860399,918563,762314,835637,808403,826755,822554,739059,760550,774074,690753,635397,632178,684534,629067,619834,671735,717551,754850,652343,723528,761225,714293,730766,722829,779884,667755,745964
